Aspergillus_sp._B3601_B3601	F83BA514
Aspergillus_sp._B3605_B3605	FABA250D
Aspergillus_sp._DX121-18F_DX121-18F	F9D90F9D
Aspergillus_sp._DX7217_DX7217	FAFC39FA
Aspergillus_sp._F3601_F3601	F077DD14
Aspergillus_sp._F3603_S1902Y	F4F1F935
Aspergillus_sp._F3604_F3604	F501BD4E
Aspergillus_sp._F3605_F3605	FA0B81F1
Aspergillus_sp._GBTC2_WXH_GBTC2_WXH	F7B26109
Aspergillus_sp._GbtcF1_GbtcF1	F8095066
Aspergillus_sp._GbtcF2_GbtcF2	FEE57CF0
Aspergillus_sp._HF37_HF37	FBD1E5E3
Aspergillus_spinulosporus_NRRL_2395	F0802BE4
Aspergillus_sp._JS3-R5_JS3-R5	F3021A54
Aspergillus_sp._M3605_M3605	F78A18EE
Aspergillus_sp._M3606_M3606	FAC1A223
Aspergillus_sp._MA_6037_MA_6037	F3A20605
Aspergillus_sp._MA_6041_Y3614	FE6B3D6F
Aspergillus_sp._MEXU_27854_MEXU_27854	FAD8D547
Aspergillus_sp._P7301S-1_P7301S-1	FF0956FE
Aspergillus_sp._PA2101_PA2101	FF975B05
Aspergillus_sp._PA3604_PA3604	FA68A40F
Aspergillus_sp._PA40-03_PA40-03	F19322EB
Aspergillus_sp._PB2407_PB2407	F2E938FC
Aspergillus_sp._PB4102_PB4102	FF5BA099
Aspergillus_sp._PB4105_PB4105	F1DF4763
Aspergillus_sp._PB4106_PB4106	FB85E2A5
Aspergillus_sp._PG119-06_PG119-06	F254145F
Aspergillus_sp._PG3603_PG3603	FB685D51
Aspergillus_sp._PG3605_2NP920	FC172B22
Aspergillus_sp._PG3606C_PG3606C	FF25B7BB
Aspergillus_sp._PG3606D_PG3606D	FF92FE33
Aspergillus_sp._PG3608_PG3608	FEDE43AF
Aspergillus_sp._PH2503_PH2503	FDAC3729
Aspergillus_sp._PH3601_PH3601	F29021A2
Aspergillus_sp._PK2410_PK2410	FD9CB1AB
Aspergillus_sp._PM3601_PM3601	F8EAD0D2
Aspergillus_sp._PM3602_PM3602	F60F58ED
Aspergillus_sp._PM3604_PG3605	FEA84CD7
Aspergillus_sp.	F866FB1A
Aspergillus_sp._PYS2105_PYS2105	FFB16222
Aspergillus_sp._PYS4201_S3505	F5CCB082
